मां	अम्मा
 घकथल-स्त्री० (का०, 50) बेसब्री
 चकये-स्त्री० (म0, का0) उठबैठ, अस्तव्यस्तता
 चकदा-पुर (का०) चिनाई, निर्माण
 चकला-पु० रोटी बेलने का चाका
 चकला-वि० (का०) समतल
 घकपोष्ट-पुo (का०) छोटी चक्की
 चका-पु० (चb, का०) घास का बैठने हेतु बनाया चकला
 चकीड़-स्त्री० (का0) खेतों की विमाजक रेखा, सीमा
 पकुठ-वि० चौकोर
 चकुठी-स्त्री० (का०) चारों दिशाए वाली छोटी चक्की
 चकोठली-स्त्री. (काo, ह०) चपटा पत्थर
 चकोता-पुo (काo) भूमि का ठेका पो चार वर्ष के लिए होता है
 चकोता- (का, कि०) निश्चित किया गया. अन्न या - पैसे
 .चकोता-वि० (का०) उन्मृण
 चक्क- (काo) चरखे का चक्र
 चक्कर-पु० मोड़ लोहे का गोल बड़ा थाल
 चक्की-स्त्री साबुन की टिकिया
 चक्खणा-स0 क्रि० (वि०, का०) स्वाद लेना
 चक्खणी-स्त्री (का०) मोजन चखने की प्रक्रिया
 चक्खमक्ख-स्त्री. (का०, कु०) जूठा करने की क्रिया 
 चखंडी-स्त्री. (सो, का0) घर का दालान, अतिथिगृह
चखरी-स्त्री (10) चकोरी
 चखरी-स्त्री (10) बच्चों के खेलने का एक खिलौना
चख लगणा- क्रिक (का) बच्चे को बुरी नज़र लगना
 चचोड़-पुo (का०) चीड़ वृक्ष के छिलके
 चषण-वि० सुयोग्य स्त्री
 चजरी-स्त्री० (का०, बि०) हुक्का
 चटंड-वि० (का०) हृष्ट-पुष्ट
 चटक-स्त्री० आदत
 पटणा-स० क्रि० (काo) चाटना
 पटणी-स्त्री० चटनी
 पटनेळणा-स० क्रि० चांटे मारना, पीटना
पदम-पुo (क10. क) सब कुछ खा कर समाप्त करने का भाष
 षटयाणा-20 क्रि० फेकना, ज़ोर से फेकना
 चटोर-वि० (का०, च०) लालची
 चटोरी-वि० जिसे चाटने की आदत हो
 चट्ट-स्त्री० (का०, म०) मकान में प्रथम प्रवेश पर की जाने वाली प्रतिष्ठा
 चट्ठ-पुo (का०) पट्ट आदि धोने हेतु बनाया गया काष्ठ का लंबा टब
 चट्ठ-पु० (का०) पानी की छोटी बावली जिसमें लोहे को ठंडा किया जाता है
 चट्ठा-पु० (काo, 30). पशुओं को पानी पिलाने हेतु बनाया गया पत्थर या सीमेंट का चौकोर टब
 चट्ट-पु० (का०, सि०) मिट्टी आदि का बरतन जिसमें पानी डालकर चमड़ा भिगोया जाता है
 चठ-पु० (का०) नमक का बड़ा ढेला
 चड़ाड़े-पुo (का०) चीड़ वृक्ष के छिलके के टुकड़े
 चदत-स्त्री० (काo) चढ़ावा
 चैधड़-वि० (70, का०, ह0) धूर्त
 चैकणा-अ क्रि० (का0, का०, बि०) ज़ोर से चिल्लाना
पेड़-स्त्री (का, 60, 7) बच्चे द्वारा अकड़ दिखाने की किया
 चैड़ा-वि० (10) चौड़ा
 चेहला-कि० (30, का0, 10) अकड़बाज़, घमंडी
 घेणा-वि० (का०, च0) बहरा, बषिर
 पेणी-स्त्री० (काo, 10) मक्की व गंदम की पकने से पहले__काटी गई फसल
 चैन-स्त्री० (ऊ, का0, मि०) धातु की बनी गले में पहनी जाने वाली पतली जंजीर
 चर-पुo (का, च०) एक पक्ष विशेष
 चोई-स्त्री० (का०) आम की सूखी फांक
 चोरू-पु० (ऊ, का०) काले रंग का बैल जिसके मुंह पर सफेद धब्बे हो
 चो-पुo छोटा नाला जिसमें बरसात में पानी होता है
 चोई-स्त्री० (:0, का, बि०) आम की फांक
 चोकठ-पु० (का०) चौखट
 चोकड़ा-पुo (ऊ, का०) चार व्यक्तियों की टोली,खेल विशेष
 चोकणा-स० क्रि० (:0, का0, ह०) किसी वस्तु में छिद्र करना
 चोक्खल-पु० (का०) एक जंगली फलीदार बड़ी-बूटी
 चोखला-वि० चार तहों वाला
 चोखला-वि० (ऊ, का0) सुंदर
 चोगा-पु० (का, कि, छ) घूस
 चोचला-पिO (का, वि०) मदुभाषी, मीठा पालने वाला, 
 पोषले- स्त्री चिकनी चुपड़ी पाते, व्यर्ष का प्रदर्शन
 चोण-वि० (काb) वधा, चतुर
 पोज--पुन (का, वि०) विविध प्रकार के खाद्य पदार्ष
 खोजळा-वि० (काb, जि०) दूसरों को चाहने वाला (व्यक्ति)
 खोट-स्त्री0 () वेणी
 घोटी-स्त्री० शिखर, शिखा
 घोटी-स्त्री वेणी
 चोटीपीहणा-० (का, गिo) पक्षी विशेष
  घोटू-० (काo, oि) छोटी वेणी
 घोड़ना-स० क्रि० (का, च०) छिलका उतारना, उखाड़ना
 चोड़ा-स्त्री० (का०) चामुंडा देवी
 चोड़ान-स्त्री० (का, कि, म०) चौड़ाई
 घोड़ा-पु० (ऊ०, का, ह) दाग, गंदा धब्बा
 चोणा-स० कि० (का, वि०, म०) कृपण व्यक्ति से धन लेना
 चोपन- (ऊo, का०) चौड़े पत्तों से शंकु आकार की बनी पुड़िया
चोब-स्त्री० (का, चo, कि०) नगाड़ा बजाने की विशेष चपटी __लकड़ी
 चोबा-वि० (का, च०) पेट्र, बहुत भोजन खाने वाला
 चोमड-3 (काo, म) छोटा तालाब
 घोभी-स्त्री० (का०) डुबकी
 चोमू--पु० (का, बि०) गोताखोर
 चोली-स्त्री(ऊO, का) विवाह के समय ननिहाल से वधु को दिया जाने वाला पीत-वस्त्र
 चोहटा-पुo (काo) बिछौना
 चोहगड़-स्त्री० (ऊo, का०, बिo) चहल-पहल
 चोहगड-वि० (का०) खुला
 चोहड़ा-पुo (ऊ, का०, ह0) दाग
 चोहदै-स्त्री० (काo) चंद्र पक्ष की चतुर्दशी
 चोहलणा-स० क्रि० (का०) रौदना
 चोहलु-पु० (का०) ब्राहमण
 चौकड़ियापोणा- अ क्रि० (का०, बिo, ह0) तेज भागना
 चौकड़ी-स्त्री० चार खोरियों का खेल
 चौकड़ी-स्त्री० पशुओं की चारों टांगों को उछाल कर भागने की क्रिया
 चौहट-वि०. चौंसठ
 चौहट-पु० (काo, च0) चार सूतों से बनाया एक मोटा सूत
 न्यूली-स्त्री0 (का, बि०) एक काटेदार झाड़ी
 व्होड़ा-पु (का०, च०) हल को चलाने हेतु पकड़ी जाने वाली हत्थी विशेष बहुरंगी फूल
 छड-स्त्री० (का०) बिखेर कर बीज बोने की क्रिया
 छंड-स्त्री० (०, का0) घर के पृष्ठ- माग में ढलानदार 'ढोक'
 झंड-स्त्री० (०) गहरी खाई
 छडणा-स० क्रि० छोटना, बिखेरना
 छडणा-स० क्रि० सूप से अन्न साफ करना
 छष-स्त्री० (40, का०, गि) एक हाथ को मुख से लगाकर दूसरे हाथ से गड़पी या गिलास से पानी उड़ेल कर पीने की क्रिया
छई-स्त्री० (कां०) विवाह में प्रयुक्त होने वाली शुभ मुहूर्त में काटी गई लकड़ी
 छक-पु. (कां, ह0) शक
 छकड़ी-स्त्री० (का०. ॐ0, ह०) पशुओं के मुंह पर लगाया __ जाने वाला रस्सियों से बना छीका
 छकाली-पुo (का०) फसल हेतु लगाए गए मजदूर
 छकेरना-स० कि० (का०) किसी से पकवाना
 छलकेरना-स० कि० (का, बिo, च0) छेड़ना
बकरा-वि० (का, बि०) बुरी तरह से कुचला हुआ
 शहरा-वि० (का, म०, नि०) कटी हुई टहनियों वाला छछरा--वि० (काo, ऊ, ह०) कटी हुई पत्तियों से यह
 छाछरे-वि० (का०, ऊ0, ह०) धूर्त, चपल, चंचल
 छछोलणा-स० कि० (म०, का0, बि०) निथारना
 छछलोणा-अ0 क्रि० (नि०, कां०) जोर से हिलना
 छछरोणा-अ क्रि० (नि०, कां०) बांस आदि का फटना
 कटेल-वि० (का, लि०) कुलटा
 बाटोणा-30 क्रि० (ऊ, का, जि०) छीटे लगना
 छछी-स्त्री (, का, ह०) हल में फाल के ऊपर लगी ___ ककुदनुमा लकड़ी
छड़कंगण-yo (म0, कांo, 3) धुमके, कर्णामूषण
छड़खड़ा-पु० (का, मि, मै0) छोड देने का भाव
 छड़प्पा-पुo (बि०, का०) चौकड़ी, छलांग
 लाडेहरू-पुo (म0, कांo) लकड़हारा
 खड़ेठ-वि० (बि०, का, ह०) दुर्बल (स्त्री)
 छड़ोल-वि० (काo, बिo, ह0) छोड़ा हुआ
 छड़ोल्ला -पुo (कांo, ह0) बाड़
 छड़ोहड़-वि० (का, शिक) उपेक्षित (पत्नी)
 छड्डणा-स० क्रि० (ऊ, कांo, ह०) तलाक देना, संबंध तोड़ना
 छणाटा-पु0 (ऊ0, काo, ह०) दूर से सुनाई देने वाली आभूषणों की झंकार
 सतहणा-स० क्रि० (ऊ0, का०, बि०) देo छत्तीय कतरोडा- पत्तों और बांस का बना बड़ा छाता
 छती-स्त्री छतरी
 छती-स्त्री० (का०) भेड़ का मादा मेमना
 छत्रण-स्त्री० (का, बि०) टहनियों व पत्तों की छत
 छनार-वि० (काo, ०) दही या छाछ रखने का मिट्टी का पात्र
 छनाहडू-पुo (का, बि०) स्वेच्छाचारिणी
 छन्न-पुo (कां०) छंद
अपड-पुo (का०, बिo, मं०) छोटा तालाब
 कपड़ी-स्त्री पोखर, तलैया
 अपलुक्की -स्त्री० (का०, ५०) छिपने-ढूंढ़ने का खेल
 छमकणा-स० क्रि० (का, बिo, म०) सब्जी दाल को छौंक लगाना
 छमीनड़ा-विo (काo, ह0) छ. मास का
 छम्मण-पुo (काo, बि०) पशुओं के नीचे बिछाया जाने वाला घासफूस
 छम्मण-पुo (का, वि०) घास की छत
 छयत्तर-वि० छिहत्तर
 घरह-सारड़-अ (का, लि०) पानी गिरने का शब्द
 धरना-- क्रि० (को०) खटाई मिलने से दूध का फटना
घरमरा- (कo, चं०) एक विशेष प्रकार का सुगंधित पुषित पौधा
 चैकणा-अ क्रि० (का0, का०, बि०) ज़ोर से चिल्लाना
 चेहला-कि० (30, का0, 10) अकड़बाज़, घमंडी
 घेणा-वि० (का०, च0) बहरा, बषिर
 पेणी-स्त्री० (काo, 10) मक्की व गंदम की पकने से पहले __काटी गई फसल
 चर-पुo (का, च०) एक पक्ष विशेष
 चोआ-पु0 (ऊo, का0, बिo) खेतों को सींचने के लिए बनीपानी की बड़ी धारा
 चोई-स्त्री० (:0, का, बि०) आम की फांक
 चोकठ-पु० (का०) चौखट
 चोकड़ा-पुo (ऊ, का०) चार व्यक्तियों की टोली,खेल विशेष
 चोक्खल-पु० (का०) एक जंगली फलीदार बड़ी-बूटी
 चोखला-वि० (ऊ, का0) सुंदर
 चोगा-पु० (का, कि, छ) घूस
 चोचला-पिO (का, वि०) मदुभाषी, मीठा पालने वाला, चिकनी-चुपड़ी बातें करने वाला
 पोषले- स्त्री चिकनी चुपड़ी पाते, व्यर्ष का प्रदर्शन
 चोण-वि० (काb) वधा, चतुर
 पोज--पुन (का, वि०) विविध प्रकार के खाद्य पदार्ष
 खोजळा-वि० (काb, जि०) दूसरों को चाहने वाला (व्यक्ति)
 घोटू-० (काo, oि) छोटी वेणी
 घोड़ना-स० क्रि० (का, च०) छिलका उतारना, उखाड़ना
 चोड़ा-स्त्री० (का०) चामुंडा देवी
 चोड़ान-स्त्री० (का, कि, म०) चौड़ाई
 चोणा-स० कि० (का, वि०, म०) कृपण व्यक्ति से धन लेना
 चोपन- (ऊo, का०) चौड़े पत्तों से शंकु आकार की बनी पुड़िया
 चोब-स्त्री० (का, चo, कि०) नगाड़ा बजाने की विशेष चपटी __लकड़ी
 चोबा-वि० (का, च०) पेट्र, बहुत भोजन खाने वाला
 चोमड-3 (काo, म) छोटा तालाब
चोमू--पु० (का, बि०) गोताखोर
 चोली-स्त्री(ऊO, का) विवाह के समय ननिहाल से वधु को दिया जाने वाला पीत-वस्त्र
 चोहटा-पुo (काo) बिछौना
 चोहगड़-स्त्री० (ऊo, का०, बिo) चहल-पहल
 चोहगड-वि० (का०) खुला
 चोहड़ा-पुo (ऊ, का०, ह0) दाग
 चोहदै-स्त्री० (काo) चंद्र पक्ष की चतुर्दशी
 चोहलणा-स० क्रि० (का०) रौदना
 चोहलु-पु० (का०) ब्राहमण
 चौकड़ियापोणा- अ क्रि० (का०, बिo, ह0) तेज भागना
 चौहट-वि०. चौंसठ
 चौहट-पु० (काo, च0) चार सूतों से बनाया एक मोटा सूत
 न्यूली-स्त्री0 (का, बि०) एक काटेदार झाड़ी
व्होड़ा-पु (का०, च०) हल को चलाने हेतु पकड़ी जाने वाली हत्थी विशेष बहुरंगी फूल
छई-स्त्री० (कां०) विवाह में प्रयुक्त होने वाली शुभ मुहूर्त में काटी गई लकड़ी
छकड़ी-स्त्री० (का०. ॐ0, ह०) पशुओं के मुंह पर लगाया __ जाने वाला रस्सियों से बना छीका
 छकाली-पुo (का०) फसल हेतु लगाए गए मजदूर
 छकेरना-स० कि० (का०) किसी से पकवाना
 बलरा-वि० (का, बि०) बांस को फाड़कर चपटा किया
बकरा-वि० (का, बि०) बुरी तरह से कुचला हुआ
छाछरे-वि० (का०, ऊ0, ह०) धूर्त, चपल, चंचल
छछरोणा-अ क्रि० (नि०, कां०) बांस आदि का फटना
 छछलोणा-अ0 क्रि० (नि०, कां०) जोर से हिलना
 कछलोणा-अ0 क्रि० (बिo, म०, का०) उतावला होना
 कटेल-वि० (का, लि०) कुलटा
 बाटोणा-30 क्रि० (ऊ, का, जि०) छीटे लगना
 छछी-स्त्री (, का, ह०) हल में फाल के ऊपर लगी ___ ककुदनुमा लकड़ी
छड़खड़ा-पु० (का, मि, मै0) छोड देने का भाव
 छड़खड़ाक-- छड़छड़ की ध्वनि
 छड़प्पा-पुo (बि०, का०) चौकड़ी, छलांग
 लाडेहरू-पुo (म0, कांo) लकड़हारा
 छड़ोल्ला -पुo (कांo, ह0) बाड़
छड्डणा-स० क्रि० (ऊ, कांo, ह०) तलाक देना, संबंध तोड़ना
छणाटा-पु0 (ऊ0, काo, ह०) दूर से सुनाई देने वाली आभूषणों की झंकार
सतहणा-स० क्रि० (ऊ0, का०, बि०) देo छत्तीय कतरोडा- पत्तों और बांस का बना बड़ा छाता
सतहणा-स० क्रि० (ऊ0, का०, बि०) देo छत्तीय कतरोडा- पत्तों और बांस का बना बड़ा छाता
 छती-स्त्री० (का०) भेड़ का मादा मेमना
 छत्रण-स्त्री० (का, बि०) टहनियों व पत्तों की छत
 छनार-वि० (काo, ०) दही या छाछ रखने का मिट्टी का पात्र
 छनाहडू-पुo (का, बि०) स्वेच्छाचारिणी
 छन्न-पुo (कां०) छंद
अपलुक्की -स्त्री० (का०, ५०) छिपने-ढूंढ़ने का खेल
 छमीनड़ा-विo (काo, ह0) छ. मास का
 छम्मण-पुo (का, वि०) घास की छत
 घरह-सारड़-अ (का, लि०) पानी गिरने का शब्द
 उपकार                      भलाई      
उपचार                       इलाज
उपजाऊ                      उपजाऊ
उपजाऊ	ज़रखेज़ 
उपजाऊ	पोआज़ी
उपदेश                      उपदेश
उपदेश	गियान 
उपदेश	नेक सलाह 
उपदेश	नसीत
उपाध्याय                      उपाध्याय 
उपनगर                      क़सबा
उपन्यास                      नावल
उपभोक्ता                      ग्राहक
उपभोग                      भोग 
उपभोग 	इस्तेमाल 
उपभोग 	बर्तना
उपभोग 	बर्तणा
उपमा                      मिलाण
उपमा	जोड़
उपायुक्त                      उपायुक्त
उपायुक्त 	कलक्टर
उपयोग                      इस्तेमाल
उपयोगिता                      फायदा
उपयोगी                      फायदेमंद 
उपरांत                      परंत
ऊपरी                      उपरला
उपलक्ष                      मकसद 
उपलक्ष 	बाबत
उपलब्ध                      हाजिर 
उपलब्ध  	मौजूद 
उपलब्ध  	उपलब्ध
उपला                      गोह्टू
उपवास	ब्रत
उप संपादक                      उप संपादक
उपहार                      भेंट 
उपहार	परोढ़
उपस्थिति                      हाजिरी
उपहास                      मखौल
उपहास 	मज़ाक
उपाधि                      पदवी
उपाधि	ख़िताब
उपाध्यक्ष                      उपाध्यक्ष
उपाय                      जुगत 
उपाय	तरकीब, 
उपाय	जुगाड़ 
उपाय	उपाय
उपासक                      पुजारी
उपहार                      भेंट 
उपहार	परोढ़
उपासना                      पूजा
उपेक्षा                      निरादर 
उपेक्षा	नफरत 
उपेक्षा	नज़रअंदाज 
उपेक्षा	ध्यान नीं देणा
उफान                      उफाण
उबटन                      बूटणा
उबालना                      उबालणा
उधार                      कर्ज़ 
उमंग                      जोश
उमर                      उमर
उम्मीद                      उम्मीद
उम्मीदवार                      उम्मीदवार
उम्मीदवारी                      उम्मीदवारी
उम्र                      उम्र
उर्वरता                      उपजाऊपण
उलझन	झमेला
उलझना                      फसणा
उलझाव                  अटकी जाणा
उलट                      पुट्ठा
उल्टा पुल्टा	उल़्टा पुल़्टा
उल्टा सीधा	पुट्ठा सिद्धा
उल्टी	पुट्ठी
उलाहना	ल़ाह्मा
उलंघन                      लंघणा
उल्लास                      खुशी
उल्लिखित	लिखेया    
उल्लू	उल्लू
उल्लेख                      लिखणा
उल्लेखनीय                      लिखणे जोगी
उष्णता                      गरमी
उसूल                      उसूल
उस्ताद                      उस्ताज
ऋषि                   ऋषि
ऋतु                      रित
एडी                      एडी
एंबुलेंस                      एंबुलेंस
एकचित्त                      इकचित
एकजुट                      इकजुट
एकटक                      इकटक
एकड़                      एकड़    
एकतरफा                      इकतरफा 
एकतारा                      इकतारा
एकत्र                      इक्कठे
एकदम                      इकदम
एकमत                      इकमत
एकमात्र                      इकमातर
एकरूपता                      इकोदेहे
एकवचन                      इकवचन 
एकसमान                      इकोबरोबर
एकसाथ                      इकसाथ,  
एकहरा                      इकहरा 
एकांकी                      एकांकी
एकांत                      एकांत
एकांतवास                  एकांतवास
एका                      इक्कठ
एकाएक                     अचाणक
एकादशी		एकादशी
एकाध                      इकअद्ध 
एकाधिकार                      एकाधिकार 
एक्सप्रेस                      एक्सप्रेस 
एक्स-रे                      एक्स-रे 
एजेंट                      एजेंट 
एजेंट 	आढ़तिया
एजेंट 	नुमाइंदा
एजेंसी                      एजेंसी 
एटम                      एटम
एटमी                      एटमी 
एडवोकेट                      एडवोकेट
एडिटर                      एडिटर 
इतवार                      तुआर, इतवार 
एतराज                      एतराज 
ऐलान                      ऐलाण 
एहसानमंद                      एहसाणमंद
एहसानमंद 	शुक्रगुज़ार
एहसान                      एहसाण 
ऐतिहासिक                      ऐतिहासिक 
ऐसा                      देहा 
ऐसा	ऐसा
ऐसे                      देहे
ऐसे 	ऐसे
ऐसावैसा                      ऐसावैसा
औंठ	लब्बड़
ओखल	उख्खल़ 
ओखली	उख्खल़
ओछापन                      होछापण
ओछापन 	ओछापण
ओझल                      लुप्त 
ओझल	परें 
	ओझलपराहां 
वोट                      वोट
उठाना                      चुक्कणा
ओढ़ना                      ओढ़ण
बिछौना                      बछाण
ओढ़नी                      चादरू
ओला                      णाह्ट
ओवरकोट                      ओवरकोट
ओवरहाल                      ओवरहाल
दावेदार                      दावेदार 
औंधा                      मूँधा
औकात                      औकात
औद्योगिक                      औद्योगिक 
औपचारिक                      रस्मी 
औरत                      जणास
औषध                      दवाई 
औषधालय                      हस्पताल़
औषधि                      दवाई 
औसत                      औसत 
औसतन                      औसतन
अगणित                      अणगिणत
आगम                      बभिक्ख
अग्नि                      अग्ग
अगर                      जेकर
अगरचे                      जेकर
अगला                      अगला
अगवानी                      सुआगत
अगस्त                      अगस्त
अगहन                      माघ
अगाड़ी                      साह्मणे
अग्यारी                      धूपदान
अगुआ                      मुखिया
अगवाई                      सुआगत
अघोर                      डरौणा
अगोचर                      ब्रह्म
अग्रणी                      अगुआ
अग्रिम                      पेशगी
आग                      अग्ग
अघटित                      अणहोया
अघोरी                      औघड़
अघोरीपन                      अघोरीपण
अचंभा                      हैरानी
अचकन                      अचकन
अचानक                      चाणचक
अचरज                      अचरज
अचार                      अचार
अचिंत्य                      सोच ते परे
अजिर                      अंगण
अशोक                      अशोक
अचेत                      बेहोश
अचेतन                      बेहोश
अक्षत                      अच्छत
अच्छा                      खरा
अच्छाई                      भलाई
अपना                      अपणा
अर्चित                      पूजा
अछूत                      हरिजन  
आज                      अज्ज 
अजगर                      सराल़
असगरी                      भक्त
अजन्म                      अणजम
अजन्मा                      अणजमेया
अजय                      अणजित
अजान                     पखल़ा
अजायब                      अजीब
अजीत                      अणजितेया
अजूबा                      नोखा
अज्ञात                      अणजाणा 
अज्ञानता                      बुद्धूपणा
अज्ञानता	गुंआरपणा 
अज्ञानता	कमअक्ली 
अज्ञानता	नासमझी 
अज्ञानी                      गुंआर
अज्ञानी	अणपढ़ 
अज्ञानी	भोंदू 
अज्ञानी	घोंचू, 
अज्ञेय                      अणजाणा 
अज्ञेय	अणसमझा 
अटकना                      फसणा
अटकना	रुकणा 
अटकना	अटकणा 
अटकल                      अंदाजा 
अटका                      फसेया
आहट                      छेड़ 
नाटक                      नाटक
अटपटी                      बेढंगी 
अटाला                   रकम
अट्टालिका                      कोठी  
अगडा                      अगड़ा
अर्चन                      पूजा
आंचल                      गोद
अडतालीस                      अडतालीस 
अडतीस                      अडतीस
अति                      अति
अधिकार                      हक 
अतिथि                      परोहणा 
अतिबल                      तगड़ा 
अतिबल	जिरहड़ा 
अतिबल	मज़बूत
अतिसार                      पेचिश 
अतिसार	आँव 
अतिसार	जुलाव 
अतिसार	दस्त 
अतिरेक                      बहोतायत
अतिशय                      अति
अतुल                      नोखा
अत्यंत                      बेहिसाब
अत्याचार                      जुल्म 
अत्याचारी                      जुल्मी 
अत्युक्ति                      बड़बोलापण
अथर्व                      अथर्व 
आदरणीय                      आदरजोग
अदम                      कमी
अदरक                     अदरक
आदर्श                   नमूना
अदा                       नखरा
अदालत                      अदालत
अदालती                      अदालती 
अदिति                      अदिति
अदृश्य                      अंतर्धान
आधा                      अद्धा 
अध्यक्षता                 अध्यक्षता
अध्यक्षा                  अध्यक्षा
अद्वितीय                बेजोड़ 
अद्भुत                  अनोखा
आदिवासी                      आदिवासी 
अधिष्ठाता                      अगुआ
अधिष्ठात्री                      अगुआ
अधिष्ठान                      वासस्थान
अधिसूचना                     अधिसूचना 
अधीक्षक                      अधीक्षक
अधीक्षण                      दिखभाल़
अधीरता                      बेसब्री
अधूरा                      अधूरा 
अधेड़                      अद्धखड़
अधेड़ 	अद्धखड़
अध्ययन                      पढ़ाई 
अध्ययन	पढ़णा 
अध्यवसाय                      मेहनत 
अध्यात्म                      अध्यात्म
अध्यात्मिक                      रूहानी
अध्यापक                      मास्टर
अध्यादेश                      अध्यादेश
अध्याय                      अध्याय
अध्यापिका                      मास्टरनी
अध्याहार                      बहस
किंकर         नौकर
किंकर         दास 
किंकर        सेवक
किंकर        गुलाम
किंग        राजा
गली        गली
किंतु        अपर
किंतु        पर
किंबदंती        लोककथा
किंबदंती        दंतकथा
किंबदंती        अफवाह
किंशुक        पलाश
किंशुक        ढाक
कितना        कितना 
किताब        कताब
किताबत        लिखणा
किन        कुण 
किधर        कुत्थु 
किनारा        कनारा
करना        करणा 
किनारेदार        कनारेदार 
किनारी        कनारी
किन्नर        हिजड़ा 
किफायत        सरफा
किफायत        बचत
किफायती        सस्ता
किफायती        फायदेमंद
किरकिरा        किरकिरा
किरकिरी        रड़क
किरकिरी        किरकिरी
किरण        किरण
किरण        रश्मि
कीरत    	कीरत    
किल्लत        कमी
किल्लत        तंगी
किल्लत        किल्लत
किरदार        चालचलण
किरदार	व्यवहार
किराना        किराना
किरात        किरात
किराया        किराया
किराएदार        किराएदार 
किलकारी        खिलखिलाणा 
किलनी         कितणी
किलोल        खुशी
किल्लत        कमी 
किवाड        भित
किवाड़        पल्ला
किवाड़ी        भित
किवाड़ी        पल्ला
किशमिश	दाख 
किशोर        किशोर
किशोरी        किशोरी
किस्त        किस्त
किष्किंधा     किष्किंधा   
किसलया        पंगूर
किसान        जमींदार
किस्मत        भाग 
किस्सा        कथा
कीकर	कीकर 
कीचड़        चिक्कड़ 
कीट        कीट
कीड़ा	जीजू
कीड़ा        कीड़ा 
कीड़ी        कीड़ी
कीमत        कीमत
कीमती        कीमती
कीमा        कीमा
कीर्तन        किर्तण
कीर्ति        मशहूरी  
किला        किला 
कीलित        कीलेया
कुमकुम        केशर
कुमकुम        कुमकुम
कुंजर        हाथी
कुंजी        चाबी
कुंठा        चिढ़
कुंठा        खीझ
कुंठा        निराशा
कुंठित        चिढ़ेया
कुंठित        खीझेया
कुंठित        निराश
कुंडलिनी        कुंडलिनी
कुंडली        टिपडु
कुंडली        टीपा
कुंडा        कुंडा
कुंडी        कुंडी 
कुंदन        कुंदन 
कुंभ        घड़ा
कुंवर        राजकुमार
कुंवर        पुत्र 
कुंवारा        कुंआरा 
कुंवारी        कुंआरी
कुआं        खुह 
कोई        कोई 
कुकडी        कुकड़ी
कुकर्म        पाप 
कुकर्मी        पापी
कुकुर        कुत्ता
कुकुरमुत्ता        खुंब
कुकुरमता        तमटोर 
कुक्षी        कोख
कुक्षी        औलाद
कुक्षी        पेटे ते  पैदा होया
कुख्यात        बदनाम 
कुछ-कुछ        किछ-किछ
कुचलना        चिहलणा
कुचला        चिहलेया
कुट        गढ़
कुट        किला
कुलच्छण        कुलच्छण 
कुटाई        कुटाई 
कुत्ते        कुत्ते
कुत्ता        कुत्ता
कुटिला        कुटिला
कुट्टी        कुट्टी
कुटिया        झोंपड़ी 
कुटी        झोंपड़ी
कुटुम्ब        टब्बर  
कुटुंबी        टब्बरी 
कुठार        कुहाड़ी 
कुड़माई        कुड़माई 
कुड़ी        	बिट्टी 
कुड़ी	कुड़ी 
कुढना        कुढ़णा
कुतूहल       	 काहळी
हिंदी                कांगड़ी
घराना        खानदान
घराना        घराना 
घराती        घराती 
घड़ी        घड़ी
घरू        घरू
घरेलू        घरेलू
घरौंदा        टपरू 
घरात        घरैत 
घाटी        घाटी
घाटी        खोल़ा 
घसीट        घसीट
घसीट        घसूत
घसियारा        घाई
घसियारा        घसैड़ा 
घसीटना        घसीटणा
घासणी        घासणी
घाघ        चलाक
घाट        घाट
घाटा        घाटा
घटिया        घटिया
घात        घात
घातक        घातक 
घातक        खतरनाक
घानी        घाणी
घाम        धुप्प
घायल        ज़ख्मी
घायल        फट्टड़ 
गाल        खाखां 
घाव        जख्म  
घास        घाह्
घासलेट 	मिट्टी तेल 
घिचपिच        घचोल़
घिचपिच        घिचपिच 
घिन        तुआड़
घिन        घिन
घुप्प        घुप्प
घुमावदार        टेढ़ा मेढ़ा
घुमावदार        ढेरा
घुमडना        घिरना
घुमडना        मंडराणा
घुमडना        उमड़णा
घुलना        घुल़णा
घुलनशील        घुल़णेवाल़ा
घुसपैठ        घुसडना
घुसपैठ        दखल
घुसपैठ        बड़ना
घुसपैठ        घुसणा
घुसना        बड़ना
घुसना        घुसणा
घुसाना        बाड़ना
घुसाना        घुसाणा
घुसेडना        बाड़ना
घुसडना        घुसेडणा
घूंघट        झूंड
घूंघट        झुंड
